index;COORDENADOR;AREA;TITULO;SITUACAO;PERIODO;EDITAL;RESUMO
14;Francisco de Araujo Silva;FÍSICO-QUÍMICA ORGÂNICA (QUÍMICA ORGÂNICA (QUÍMICA (CIÊNCIAS EXATAS E DA TERRA)));Produção de nanofilmes semicondutores a base de naftaleno diimidas para aplicação em dispositivos eletrônicos;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;Sistemas supramoleculares baseados em moléculas contendo conjugação pi estendida são cada vez mais usados na produção de semicondutores orgânicos. As naftaleno diimidas (NDIs) possuem conjugação pi estendida, são estáveis em suas propriedades físicas e químicas e possuem características elétricas atraentes para aplicações em semicondutores de dispositivos eletrônicos. Neste trabalho será sintetizado a NDI simétrica N,N’-bis[Tris(hidroximetil)aminometano]-1,4,5,8-naftaleno diimida (NDI-triol),  provavelmente uma naftaleno diimida inédita na literatura especializada. Esta molécula será caracterizada por espectroscopia de absorção, FTIR, ¹HRMN e Espectrometria de massas. Esta caracterização será realizada para a molécula discreta em solução e na forma de filmes finos sobre substratos como FTO e carbono vítreo. Serão estudadas as características espectroscópicas na produção de agregados em diferentes soluções e a possibilidade de formação de filmes finos semicondutores destas moléculas a partir dos testes de solubilidade e agregação em diversos solventes.  Com a produção dos filmes faremos ensaios elétricos para análise de semicondução. A ideia da produção desta diimida se baseia na possibilidade de interação entre os naftalenos e ligações de hidrogênio entre os grupos -OH levando a formação de filmes semicondutores para aplicação em dispositivos eletrônicos diversos.
15;Marina Caprio;AVAL. DE SISTEMAS, INST. PLANOS  E PROGRAMAS EDUCACIONAIS (PLANEJAMENTO E AVALIAÇÃO EDUCACIONAL (EDUCAÇÃO (CIÊNCIAS HUMANAS)));Perspectivas históricas e legais da Educação Sexual;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;A presente Iniciação científica tem como finalidade a análise da Lei de Diretrizes e Base e também da Base Nacional Comum Curricular como documentos normativos e norteadores das abordagens de eixos temático em que abordam a educação sexual e compreender quais aspectos do desenvolvimento humano são negligenciados durante o exercício de sua sexualidade como cidadão, sexualidade essa que por sua vez é suplementada pelas abordagens de educação sexual produzidas e norteadas através das políticas educacionais vigentes.
16;Jacqueline Jorente;TEORIA E ANÁLISE LINGUÍSTICA (LINGUÍSTICA  (LINGUÍSTICA, LETRAS E ARTES));Metalinguagem e o ensino de Língua Portuguesa;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;Esta pesquisa visa a investigar como o trabalho com metalinguagem é proposto em livros didáticos de Língua Portuguesa dos anos finais do Ensino Fundamental, a fim de promover discussões que tragam contribuições da Enunciação Linguística ao ensino de língua materna. Em uma articulação entre teoria e prática, em um primeiro momento estudar-se-á como documentos oficiais voltados ao ensino de Português e alguns linguistas abordam a relação entre metalinguagem e ensino, para, com sustentação teórica, em um segundo momento analisar-se como a questão aparece em exercícios destinados a estudantes de escolas públicas brasileiras. Embora a “Teoria das Operações Predicativas e Enunciativas”, do linguista francês Antoine Culioli, não esteja voltada ao ensino e aprendizagem de línguas, pode ser aproximada do contexto educacional. É o que propõe Rezende (2000, 2008), que defende que o ensino de Língua Portuguesa deve envolver uma articulação entre gramática e produção e interpretação de textos, bem como a exploração da atividade epilinguística em sala de aula. Esse olhar enunciativo ao ensino de língua materna permitirá uma crítica a atividades descontextualizadas, de mera etiquetagem, e a defesa de um trabalho de reflexão minuciosa sobre as escolhas linguísticas que são feitas a cada enunciação.
17;Jean Carlos Rodrigues da Silva;TECNOLOGIA DAS BEBIDAS (TECNOLOGIA DE ALIMENTOS (CIÊNCIA E TECNOLOGIA DE ALIMENTOS (CIÊNCIAS AGRÁRIAS)));Produção e caracterização de cerveja utilizando batata-doce (Ipomoea batatas) como adjunto;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;A indústria da cerveja movimenta uma imensa rede que envolve desde a pesquisa, o cultivo, o processamento e a comercialização de insumos e matérias-primas até a entrega do produto ao consumidor, sendo um dos mais relevantes setores da economia brasileira. Quase a totalidade do mercado nacional é dominada por três grandes grupos empresariais, mas seguindo uma tendência mundial, o mercado de microcervejarias vem crescendo. Como a inovação é mais intensa em processos de pequena escala, as microcervejarias trazem a inovação de produtos como elemento central da produção e investem na utilização de recursos alternativos e de baixo custo. Neste sentido, o presente projeto tem como objetivo investigar as possibilidades de produção de cerveja com batata doce. Para tanto o adjunto será utilizado na fabricação de cerveja tipo Ale e o produto acabado será analisado por meio de testes sensoriais, análises físico-químicas e de rendimento. Resultados parciais de eficiência de mosturação já se mostraram promissores com adição de 25% de batata-doce. Espera-se com esta proposta contribuir com a formação dos estudantes em atividades de pesquisa, desenvolvimento e inovação, assim como colaborar com o desenvolvimento e inovação deste importante setor da economia brasileira.
18;Gisele Baraldi Messiano;QUÍMICA DOS PRODUTOS NATURAIS (QUÍMICA ORGÂNICA (QUÍMICA (CIÊNCIAS EXATAS E DA TERRA)));Estudo fitoquímico da espécie Humulus lupulus (lúpulo);Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;O presente trabalho visa o estudo fitoquímico das flores de lúpulo (Humulus lupulus), uma planta utilizada para dar aroma e amargor na produção de cerveja, além da sua atividade conservante. Este estudo colaborará com o conhecimento da planta em questão e os extratos e metabólitos isolados poderão ser utilizados em testes físico-químicos e análises de seus compostos bioativos na produção de cerveja.
19;Maria Beatriz Gameiro Cordeiro;LÍNGUA PORTUGUESA (LETRAS (LINGUÍSTICA, LETRAS E ARTES));Noções de autoria e de projeto de texto em produções escritas de estudantes do Ensino Fundamental II;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;Muito se discute a respeito da dificuldade dos estudantes com a leitura e a escrita a partir de dados considerados negativos de avaliações nacionais e internacionais. Os resultados do projeto “Análise do projeto de texto em redações dissertativas de estudantes de escola pública e privada” indicaram uma argumentação inconsistente na escrita de estudantes do Ensino Médio devido à falta de autoria e de projeto de texto. Este projeto, em continuidade à pesquisa anterior, visa aprofundar, teoricamente, a noção de autoria atrelada à de projeto de texto em uma turma Ensino Fundamental II de uma escola pública e desenvolver uma análise qualitativa sobre a argumentação baseada em uma oficina de autoria a ser criada pela pesquisadora. Trata-se, portanto, de um trabalho de cunho qualitativo cujo corpus será constituído de textos dissertativos coletados em dois momentos, início e término da pesquisa, a fim de verificar se, mediante tal oficina, haverá melhora na argumentação. A fundamentação teórica parte da noção de autor e autoria da Análise do Discurso. Parte-se da hipótese de que, no primeiro corpus, haverá produções com poucas marcas de autoria e espera-se, como resultado, um aumento de tais marcas após a oficina.
20;Olavo Henrique Menin;MODELOS ANALÍTICOS E DE SIMULAÇÃO (MATEMÁTICA DA COMPUTAÇÃO (CIÊNCIA DA COMPUTAÇÃO (CIÊNCIAS EXATAS E DA TERRA)));Estudo de estratégias de vacinação contra a COVID-19 por meio de simulações computacionais utilizando modelos epidêmicos em rede;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;RESUMO  A rápida propagação do novo coronavírus (SARS-CoV-2) atingindo praticamente todos os países do planeta em poucos meses evidenciou a alta conectividade do mundo globalizado e reforçou a importância da ciência das redes. Com isso, a literatura científica vem apresentando uma “epidemia” de modelos matemáticos que buscam descrever diferentes aspectos da atual pandemia e auxiliar as autoridades públicas na tomada de decisões. Nesse projeto de iniciação científica proponho um estudo para desenvolver e implementar computacionalmente modelos de propagação epidêmicas em rede com foco em estratégias de vacinação. O projeto dá continuidade a um projeto anterior sobre redes randômicas, já finalizado, e faz parte de um projeto maior que abarca modelos epidêmicos compartimentais.
21;Antonio Carlos de Souza;AERODINÂMICA (ENGENHARIA AEROESPACIAL (ENGENHARIAS));Desenvolvimento e Análise Aerodinâmica de Aeronave em Escala – Projeto Torneio de Acesso 2021 SAE BRASIL;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;O projeto a ser desenvolvido pelo aluno de Iniciação Científica – Modalidade PIBIT tem como meta, após um embasamento teórico científico sobre o tema: “Aerodinâmica de uma aeronave”, efetuar a Análise Aerodinâmica de uma aeronave em escala radio-controlada. Esta análise será de imprescindível importância para a concepção, desenvolvimento e construção da aeronave para a sua participação para o Torneio de Acesso em 2021 com meta de ser classificada para a Competição SAE AeroDesign de 2022 .
22;Olavo Henrique Menin;MODELOS ANALÍTICOS E DE SIMULAÇÃO (MATEMÁTICA DA COMPUTAÇÃO (CIÊNCIA DA COMPUTAÇÃO (CIÊNCIAS EXATAS E DA TERRA)));Modelos epidêmicos compartimentais com estratégias de vacinação para a COVID-19;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;RESUMO  Com a pandemia do novo coronavírus (SARS-CoV-2), o mundo tem enfrentado um dos momentos mais difíceis dos últimos séculos. Além das milhares de mortes causas pela doença, a necessidade de medidas de isolamento e fechamento de escolas e comércio têm trazido prejuízos sociais e econômicos comparáveis a tempos de guerra. Com o advento de uma vacina em um horizonte relativamente próximo, as autoridades públicas precisam preparar estratégias otimizadas de imunização da população e, nesse contexto, modelos matemáticos podem ser de grande auxílio. Nesse projeto de iniciação científica proponho um estudo para desenvolver e implementar computacionalmente modelos de propagação epidêmicas compartimentais com foco em estratégias de vacinação. O projeto dá continuidade a um projeto anterior sobre redes randômicas, já finalizado, e faz parte de um projeto maior que abarca modelos epidêmicos compartimentais.
23;Antonio Carlos de Souza;DESENVOLVIMENTO DE PRODUTO (ENGENHARIA DO PRODUTO (ENGENHARIA DE PRODUÇÃO (ENGENHARIAS)));Desenvolvimento, projeto e confecção de válvula de ajuste fino e válvula by-pass para medição de níveis por borbulhamento.;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;"O presente Projeto está focado no desenvolvimento de produto com forte apelo para inovação tecnológica. Consiste no desenvolvimento, projeto e confecção de válvula de ajuste fino e válvula by-pass para que faz parte de um instrumento que auxiliará na medição de nível por borbulhamento em áreas classificadas: como sala limpa; áreas inóspitas ao ser humano; ambientes sujeitos a ação da temperatura (quentes); risco de explosão. A medição de nível se realizada em processos agressivos sobre a influência de temperatura, corrosão, abrasão, em processamentos de alimentos, em salas limpas, entre outros ambientes de área classificada. o aluno bolsista deparará com o desafio de integrar os conhecimentos específicos da Engenharia Mecânica: Processos de Fabricação, Soldagem (micro), Materiais, Térmicas e Fluídos. A empresa ATRIATEC - PESQUISAS E DESENVOLVIMENTO EIRELI, é a parceira neste Projeto. Esta empresa será responsável pelos materiais e insumos empregados no desenvolvimento do projeto.          O trabalho será realizado em parceria com o idealizador do projeto, profissional da área de desenvolvimento de produtos voltado para o ambiente industrial, utilizando os Laboratórios da Área da Mecânica do Campus Sertãozinho e das dependências do profissional externo. os materiais empregados na construção do dispositivo correrão por custa do profissional externo."
