index;COORDENADOR;AREA;TITULO;SITUACAO;PERIODO;EDITAL;RESUMO
43;Rubens Francisco Ventrici de Souza;QUÍMICA (CIÊNCIAS EXATAS E DA TERRA);SÍNTESE, CARACTERIZAÇÃO E ESTUDO DE INTERAÇÃO COM O DNA DE COMPLEXOS DE Ni(II) COM LIGANTES HETEROLÉPTICOS;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;O DNA é apontado como um dos principais alvos dos compostos antineoplásicos.   O estudo da interação de pequenas moléculas com o DNA constitui um dos passos para o desenvolvimento de novas drogas. A cisplatina, que se tornou um dos fármacos mais  utilizados em tratamentos quimioterápicos, e seus análogos manifestam sua atividade através de ligações covalentes às bases nitrogenadas do DNA. Nesse sentido, o projeto proposto tem como objetivos a síntese e caracterização de complexos heterolépticos de níquel (II) contendo ligantes semicarbazonas e fenantrolinas, bem como avaliar a possibilidade de interação com o DNA e as suas atividades antioxidantes. Os complexos serão sintetizados a partir do acetato de níquel tetra hidratado em reações equimolares com os ligantes quelatos, assim conferindo uma maior estabilidade cinética e termodinâmica aos complexos.  Os complexos aqui planejados apresentam design interessantes, já que o níquel (II) faz parte da família da platina, sendo um metal d8, e na presença de ligante como o semicarbazona, apresenta estabilidade cinética e natureza não redox, já os ligantes fenantrolinas são conhecidos pelas suas planaridades ideais para intercalações as duplas fitas do DNA
44;Maria Beatriz Gameiro Cordeiro;LETRAS (LINGUÍSTICA, LETRAS E ARTES);O repertório sociocultural no texto modelo ENEM do estudante de escola pública e privada: uma análise qualitativa.;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;O tema desta pesquisa decorre da observação empírica baseada na experiência como professora de aulas de redação para vestibulares em um câmpus do interior do Estado do Instituto Federal de São Paulo. Nessa ocasião, constatou-se o quão discrepante é a presença do repertório sociocultural, entendido como dados e referências utilizados como argumentos para embasar o ponto de vista no texto dissertativo. Portanto, este projeto visa analisar a presença de repertório sociocultural na redação “modelo Enem”, investigando a presença de repertórios pessoais, apoiados no senso comum, em contraposição a repertórios socioculturais alicerçados nas áreas do saber, a fim de comparar esse uso nas redações de estudantes da escola pública e privada. Escolheu-se analisar tais textos por serem exigidos no maior exame de grande escala do país, o qual vincula uma nota alta na competência II à presença e à produtividade do repertório na argumentação. Para tanto, serão coletadas redações de estudantes de escolas públicas e privadas de um município do interior do Estado a fim de realizar um estudo qualitativo sobre a presença vs ausência do repertório sociocultural. Tal análise será fundamentada na Sociolinguística e na Linguística Textual. Espera-se que os dados deste estudo contribuam para o ensino do texto dissertativo.
45;Marina Caprio;POLÍTICA EDUCACIONAL (PLANEJAMENTO E AVALIAÇÃO EDUCACIONAL (EDUCAÇÃO (CIÊNCIAS HUMANAS)));Epistemologias e a formação de professores: possibilidades de compreensão das novas diretrizes.;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;O presente trabalho visa compreender as epistemologias e analisar quais são as conceções sobre o conhecimento que estão presentes nas diretrizes para a formação de professores. Estas diretrizes irão definir e fundamentar todos os cursos de licenciatura no Brasil e ao compreender quais são os conceitos de conhecimento que estes documentos trazem é possível analisar as bases para a formação dos futuros professores. Desse modo, buscamos compreender o que a política educacional entende como aprendizagem, ensino, formação humana e sociedade.
46;Jean Carlos Rodrigues da Silva;MICROBIOLOGIA APLICADA (MICROBIOLOGIA (CIÊNCIAS BIOLÓGICAS));Desenvolvimento de cerveja com adição de kombucha;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;O acentuado aumento no número de microcervejarias no Brasil nos últimos anos têm trazido inovações ao setor, com produção de cervejas de diferentes estilos e composições, agradando diversos segmentos de consumidores. Um desses segmentos é formado por um público preocupado com hábitos de vida saudáveis,  que gera demandas por produtos com menos calorias, menor teor alcoólico e com componentes benéficos à saúde. Nesse sentido, o projeto prevê o desenvolvimento de uma cerveja inovadora com foco no segmento de bem-estar. Serão analisadas as possibilidades de desenvolvimento de uma cerveja com adição de kombucha. Os riscos envolvem desde a incompatibilidade das matérias-primas com o processo produtivo até a baixa aceitação sensorial e, portanto, análises das matérias-primas e de cada etapa do processo em escala laboratorial são necessários para evitar perdas, minimizar o risco e buscar alternativas para a solução dos desafios trazidos por essas inovações. As formulações que se apresentarem viáveis na escala laboratorial serão também avaliadas em planta-piloto, a fim de verificar as condições reais de produção da cervejaria.
47;Andre Luis Dias;ENGENHARIA ELÉTRICA (ENGENHARIAS);Desenvolvimento de um sistema de automação e transformação digital para microvervejarias;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Tecnologias da Indústria 4.0 representam uma oportunidade para pequenas e médias empresas, como é o caso de microcervejarias, aprimorarem seus processos produtivos, melhorando a eficiência, reduzindo desperdícios e custos. O setor cervejeiro é um importante mercado no Brasil, que emprega 2,7 milhões de pessoas e contribui com 1,6% do PIB do país. Dados do Ministério da Agricultura apontam um crescimento expressivo no número de cervejarias nos últimos anos, principalmente devido à abertura de microcervejarias. Estas pequenas indústrias trazem a inovação de produtos como elemento central da produção, porém os processos ainda apresentam baixa automatização e demandam tecnologias para atender o mercado em crescimento. Neste contexto, este trabalho propõe o desenvolvimento de um sistema de automação para processos de microcervejeiros e aplicar estratégias para dar transparência a indicadores de desempenho relevantes, proporcionando a transformação digital do processo. Espera-se contribuir para os usuários da tecnologia que terão maior facilidade na programação da planta para fabricação de novos produtos e transparência de seu desempenho.
48;Gisele Baraldi Messiano;QUÍMICA DOS PRODUTOS NATURAIS (QUÍMICA ORGÂNICA (QUÍMICA (CIÊNCIAS EXATAS E DA TERRA)));Estudo fitoquímico de Lavandula dentada (lavanda);Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;A família Laminaceae tem sido frequentemente estudada ao longo dos anos devido ao seu amplo uso na medicina tradicional e em diversos segmentos industriais. As espécies dessa família têm características muito diversas, podendo se apresentar como erva, arbusto ou árvore. As folhas são simples e possuem pelos, responsáveis pela secreção dos odores característicos dessa família. As flores não têm tamanho definido, são viçosas e de cores chamativas. Devido a aplicação das espécies em diversas áreas, torna-se importante o estudo das mesmas. Assim, o presente projeto de pesquisa visa o estudo fitoquímico dos extratos e óleos essenciais da espécie Lavandula dentata, popularmente chamada de lavanda, uma das espécies mais conhecida da família Laminaceae.
49;Flavio Tambellini;ENGENHARIA AEROESPACIAL (ENGENHARIAS);CONCEPÇÃO E CONSTRUÇÃO DE UM TÚNEL DE VENTO SUBSÔNICO DE BAIXO CUSTO APLICADO AO PROJETO AERODESIGN DO CAMPUS SERTÃOZINHO - AERO IFSERT.;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;O presente projeto vem reforçar o desenvolvimento de uma equipe formada por dois professores orientadores e alunos voltada para a concepção, desenvolvimento e construção de uma aeronave em escala radio controlado. Esta equipe iniciou suas pesquisas em setembro de 2010. Atualmente a equipe conta com alunos dos Cursos de Engenharia Mecânica e Engenharia Elétrica do campus Sertãozinho. Para o ano de 2022 serão selecionados novos alunos para compor a equipe, e a missão desta equipe e conceber, projetar, construir, testar e fazer voar uma aeronave em escala rádio controlada, tendo como foco a competição SAE Brasil de Aerodesign. Este projeto de Iniciação Científica trata-se de estudos e aplicações voltadas para concepção e construção de um túnel de vento de baixo custo. Após a construção deste túnel vento, este será utilizado através de ensaios para análises aerodinâmicas de perfis aerodinâmicos e asas desenvolvidas para a concepção de aeronave em escala pertinente ao Projeto Aero IFSert.
50;Marina Caprio;POLÍTICA EDUCACIONAL (PLANEJAMENTO E AVALIAÇÃO EDUCACIONAL (EDUCAÇÃO (CIÊNCIAS HUMANAS)));Concepções sobre o processo de ensino e aprendizagem presente nas Diretrizes Curriculares Nacionais para a Formação de professores (1999-2020).;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;O presente projeto visa compreender e analisar as concepções sobre o ensinar e o aprender na legislação educacional referente à formação de professores, no período de 1999 a 2020. Para isto o projeto objetiva analisar sete documentos legais, denominados Diretrizes Curriculares para a formação de professores, incluindo diretrizes para o curso de Pedagogia e para a formação de professores indígenas. Assim, ao analisar os dois conceitos, ensinar e aprender, pretende-se descortinar interesses, motivações e objetivos presente na formação de professores, assim como, entender se a descontinuidade dessas legislações impacta na formação dos futuros professores.
51;Ailson Vasconcelos da Cunha;PLANEJAMENTO E AVALIAÇÃO EDUCACIONAL (EDUCAÇÃO (CIÊNCIAS HUMANAS));Análise do desempenho da rede municipal de Sertãozinho nas avaliações em larga escala;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Os resultados das avaliações em larga escala (ALE) tem sido cada vez mais utilizados para a avaliação de políticas públicas ligadas à educação. Já há muito consolidado na Europa e nos Estados Unidos, esse tipo de avaliação somente chegou ao país há cerca de duas décadas, mas hoje já faz parte de diversos sistemas de ensino. As ALE produzem inúmeras informações a respeito dos diversos sistemas de ensino. Contudo, seus resultados estão sendo subutilizados no que se refere às informações importantes que constam de seus relatórios. A proposta deste projeto é analisar os resultados das escolas municipais da comunidade local (Sertãozinho, e possivelmente se expandir para Jardinópolis, Barrinha e Ribeirão Preto) nas avaliações em larga em escala realizadas pelos governos federal e estadual (eventualmente municipais) em especial nas competências e habilidades relacionadas as áreas de Língua Portuguesa, Matemática e Ciências da Natureza.
52;Francisco de Araujo Silva;QUÍMICA (CIÊNCIAS EXATAS E DA TERRA);Síntese, caracterização e estudo espectroscópico da N,N’-bis(4-carboximetil)-1,4,5,8-naftaleno diimida: uma molécula com potencial aplicação em dispositivos eletrônicos;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Sistemas supramoleculares baseados em moléculas contendo conjugação pi estendida são cada vez mais usados na produção de semicondutores orgânicos. As naftaleno diimidas (NDIs) possuem conjugação pi estendida, são estáveis em suas propriedades físicas e químicas e possuem características elétricas atraentes para aplicações em semicondutores de dispositivos eletrônicos. Neste trabalho será sintetizado a NDI simétrica N,N’-bis(4-carboximetil)-1,4,5,8-naftaleno diimida (NDI-gly). Esta molécula será sintetizada e caracterizada por espectroscopia de absorção, FTIR, ¹HRMN e Voltametria Cíclica. Esta caracterização será realizada para a molécula discreta em solução e na forma de filmes finos sobre substratos como FTO e carbono vítreo. Serão estudadas as características espectroscópicas na produção de agregados em diferentes soluções e a possibilidade de formação de filmes finos semicondutores destas moléculas a partir dos testes de solubilidade e agregação em diversos solventes.  A ideia da produção e estudo espectroscópico desta diimida se baseia na possibilidade de interação entre os naftalenos e ligações de hidrogênio entre os grupos -OH, levando a formação de agregados em solução (detectável por Espectroscopia de Absorção UV-vis), um indicativo do potencial da substância para a produção de filmes semicondutores para aplicação em dispositivos eletrônicos diversos.
53;Lucimar Aparecida Moreira;QUÍMICA (CIÊNCIAS EXATAS E DA TERRA);Criação de tabuleiro acessível à deficientes visuais para ensino da tabela periódica por meio de jogos didáticos;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Neste projeto propõe-se a criação de um tabuleiro da tabela periódica acessível à portadores com deficiência visual, usando a impressora 3D, que poderá beneficiar estudantes e  professores, permitindo a exploração de diversos aspectos da tabela periódica, como características e aplicações dos elementos, organização, propriedades periódicas dentre outros, auxiliando no processo ensino-aprendizagem. Como aplicação desta ferramenta, será desenvolvido um jogo que será aplicado à alunos do 1o ano do ensino médio da rede pública e, por meio de questionários e entrevistas com alunos e professores serão coletados dados para inferir sobre o papel do lúdico na aprendizagem de conceitos científicos. O projeto será acompanhado por um deficiente visual que dará suas contribuições e irá avaliar o produto. Esta proposta irá contemplar as necessidades de estudantes e professores de química de diversas modalidades de ensino, como educação básica, pré-vestibular e ensino superior, especialmente dos cursos de Licenciatura em Química. O fato deste material pedagógico não ser específico para deficientes visuais, permite que todos os alunos participem da mesma atividade lúdica, promovendo a integração social do deficiente visual. Esta ferramenta poderá ser difundida para todas as escolas do país, contribuindo para amenizar a carência de materiais pedagógicos que atendem a este público.
54;Paulo Donato Frighetto;ENGENHARIA MECÂNICA (ENGENHARIAS);OTIMIZAÇÃO DO SISTEMA DE FREIO DE UM VEÍCULO AUTOMOTOR.;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;A proposta deste projeto consiste em melhorar o sistema de freios de um veículo, mais especificamente de um Baja SAE (Society of Automotive Engineers). O veículo é um protótipo fora-de-estrada que deve ser seguro, de simples manutenção e operação, ergonômico, que seja capaz de vencer terrenos acidentados em qualquer condição climática sem apresentar danos, e com um valor acessível que atende ao mercado consumidor, com produção estimada em aproximadamente 4000 unidades por ano. Como visto, o veículo Baja SAE é um projeto bem universal, o qual seria ótimo para o agronegócio por conta do seu valor ser menos da metade de um veículo que é usado para esse fim.  Neste contexto, o processo envolve considerações, que melhor satisfaçam os critérios de qualidade adotados e estejam em conformidade com o RATBSB (Regulamento Administrativo e Técnico Baja SAE Brasil), que é atualizado anualmente. Serão consideradas alterações no projeto, a fim de reutilizar componentes já adquiridos, reutilizar retalhos de chapas que seriam descartados pelas empresas, reduzir o peso e obter a resistência mecânica adequada. Serão realizados cálculos de desempenho do sistema de freio, projeto e simulações em software 3D.
55;Giovana Siqueira Principe;LINGUÍSTICA  (LINGUÍSTICA, LETRAS E ARTES);Os cursos de Licenciatura em Letras no Brasil: um olhar para o(s) objeto(s) de ensino e a identidade dos professores de língua portuguesa em formação;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;"Inserido na área da Linguística Aplicada ao ensino de línguas, esse projeto tem o intuito de traçar um perfil dos cursos de Licenciatura em Letras no Brasil, de instituições públicas, e discutir o(s) objeto(s) de ensino das disciplinas relacionadas à formação de professores de língua portuguesa, assim como reconhecer as identidades dos professores em formação; tudo isso, por  meio da análise das ementas dessas disciplinas. Como resultado dessas discussões, espera-se, também, que seja possível identificar seus reflexos nas especificidades do ensino de língua portuguesa na educação básica, já que a formação de professores indicia práticas possíveis desses profissionais quando estiverem em sala de aula. O levantamento dos cursos será feito por meio de uma pesquisa quantitativa, no site do Ministério da Educação, enquanto o das ementas das disciplinas, nos sites oficiais das Instituições de Ensino Superior (IES) públicas que disponibilizarem essas ementas nos seus projetos pedagógicos de curso. Para a análise do(s) objeto(s) de ensino, o cunho da pesquisa se torna qualitativo, com base no referencial teórico de autores da Linguística Aplicada, como Geraldi (1997); Bunzen (2006); Mendonça (2006); Bunzen e Mendonça (2013); Rojo e Moura (2012)"
56;Afonso Celso Turcato;ENGENHARIA ELÉTRICA (ENGENHARIAS);Implementação de comunicação digital para a configuração remota do controlador de rampas de temperatura no processo de brassagem em uma microcervejaria;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Este trabalho propõe implementar a comunicação digital com o controlador de temperatura da planta industrial já existente na escola (microcervejaria) empregando a tecnologia MODBUS RTU, uma das tecnologias mais tradicionais e ainda bastante utilizada nas diversas aplicações de automação mundo afora. O controlador de temperatura considerado nesse projeto atua na etapa de brassagem da produção cervejeira. Cada tipo de cerveja a ser produzida possui diferentes valores de temperatura de cozimento. Assim, torna-se bastante importante o ajuste desses valores no controlador a cada receita a ser produzida. A ideia principal aqui é facilitar a inserção e modificação dos patamares das rampas de temperatura (set-point e duração) por meio de um computador interligado ao controlador de temperatura através de um cabo de comunicação serial. O sistema fornecerá informações precisas sobre o processo possibilitando a criação de gráficos e registro das variáveis de processo em um banco de dados local e acesso remoto via Internet. Assim, ajudará a manter um índice de qualidade e reprodutibilidade de cada receita, incrementando a qualidade final do produto.
57;Olavo Henrique Menin;MATEMÁTICA APLICADA (MATEMÁTICA (CIÊNCIAS EXATAS E DA TERRA));Criação de um minicurso introdutório sobre a ciência das redes: teoria e aplicação computacional em Python.;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;A rápida propagação do novo coronavírus no início de 2020 evidenciou como nunca a alta  conectividade do mundo globalizado e ilustra um dos inúmeros exemplos de fenômenos  estudados pela ciência das redes. Com origens no início do século 18, essa ciência desenvolveu-se de forma acelerada a partir dos anos de 1990, sendo considerada, atualmente, essencial  para o desenvolvimento científico-tecnológico. Apesar disso, ela é pouco explorada em cursos de  graduação na área de exatas, o que pode levar à lacunas na formação dos estudantes.  Nesse sentido, a proposta desse projeto é desenvolver um minicurso introdutório sobre a ciência  das redes que aborde aspectos teóricos e aplicações computacionais utilizando Python.  O minicurso será composto por um material textual (e-book) e por vídeos de maneira  que possa ser disponibilizado na internet. O projeto dá continuidade a dois projetos anteriores,  orientados pelo proponente, ambos sobre propagação epidêmica em redes e já  finalizados, e será executado em colaboração com o Grupo de Estudos de Modelagem e  Simulação Computacional (GEMSC) e o Centro de Pesquisa e Inovação em Comutação Aplicada à  Indústria (CEPICAI).
58;Olavo Henrique Menin;MATEMÁTICA APLICADA (MATEMÁTICA (CIÊNCIAS EXATAS E DA TERRA));Estudo numérico de um modelo epidêmico compartimental para encontrar a melhor estratégia de distribuição de doses de vacinas entre duas populações.;Concluído;2022;[2022 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Após meses combatendo a pandemia de COVID-19 por meio de intervenções não-farmacêuticas (uso de máscara, isolamento social, fechamento de escolas etc), o início da aplicação de vacinas a partir da virada de 2020 para 2021 trouxe alguma esperança de melhora. As limitações de produção e a alta demanda por doses, no entanto, resultou em uma enorme desigualdade de imunização entre países ricos e pobres, dificultando o combate à pandemia em nível global. Nesse sentido, modelos matemáticos podem ser de grande ajuda na tomada de decisões sobre a melhor forma de distribuir as doses disponíveis. A proposta desse projeto é desenvolver um modelo epidêmico compartimental que permita estudar estratégias de distribuição de vacinas entre duas populações. O modelo deve ser implementado computacionalmente e simulações numéricas realizadas. Espera-se que os resultados, que devem ser apresentados em congresso e publicados em revistas especializadas, possam colaborar com outras pesquisas na área de modelagem epidêmica. O projeto dá continuidade a outros projetos anteriores sobre modelagem epidêmica, orientados pelo proponente e já finalizados, e será executado em colaboração com o Grupo de Estudos de Modelagem e Simulação Computacional (GEMSC) e o Centro de Pesquisa e Inovação em Comutação Aplicada à Indústria (CEPICAI).
59;Jacob dos Santos Biziak;LINGUÍSTICA, LETRAS E ARTES;Olhares instáveis: efeitos de masculinidades em contos de Machados de Assis;Concluído;2021;[2021.4 - SRT] -  Programa Institucional Voluntário de Iniciação Científica e/ou Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Os estudos sobre Machado de Assis e sua obra são fundamentais para a compreensão de possíveis chaves de leitura para suas narrativas. Muito já foi estudado sobre a figura feminina nas obras de Machado (sobre Capitu, sobre Marcela etc), a construção dessas personagens, o poder que elas têm sobre a figura masculina, e como tudo isso faz com que a história se desenrole a partir de sua influência. Porém, poucos projetos de pesquisa mostram a construção do personagem masculina em relação à figura feminina, com destaque para a masculinidade fragilizada. Portanto, esse projeto tem como função e objetivo analisar essa masculinidade fragilizada nos contos “Missa do Galo” e “Maria Cora”, de Machado de Assis, usando a Análise do Discurso como meio de compreender a construção da fragilidade masculina na obra, especialmente por meio da enunciação, narração e personagens.
60;Jacob dos Santos Biziak;LINGUÍSTICA, LETRAS E ARTES;Efeitos de autoria de mulheres negras: produção de leituras e discursividades;Concluído;2022;[2021.4 - SRT] -  Programa Institucional Voluntário de Iniciação Científica e/ou Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Entender como o discurso funciona é colocar-se diante à memória que se cristaliza, como também estar perante a uma memória feita pelo silenciamento, seus sentidos, movimentos, lugares e sujeitos, cada traço deixado ou esquecido que constituiu a palavra, mesmo aquela não dita.  Os romances Úrsula (2018) e Quarto de despejo (2014) serão objetos de estudos por um viés discursivo, refletindo sobre suas autorias construídas em contextos que anteveem ao próprio texto, constituindo um processo enunciativo histórico que traz a percepção de um grupo social marginalizado e oprimido. A intenção deste projeto, dentro desta perspectiva discursiva, será a de analisar narrador/enunciador e o processo de significação das africanidades neles trazidas e suas reverberações nos livros didáticos. A pesquisa terá como ponto focal a análise da construção da enunciação para compreender como possíveis efeitos de autoria de mulheres negras constroem percurso de sentidos e deslocamentos na significação.
61;Jacob dos Santos Biziak;LINGUÍSTICA, LETRAS E ARTES;A construção da autoria, com base no interdiscurso, nos contos infanto-juvenis: “Chapeuzinho Vermelho” e “Chapeuzinho Esfarrapado”.;Concluído;2021;[2021.4 - SRT] -  Programa Institucional Voluntário de Iniciação Científica e/ou Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;"O processo de contação de histórias é cultural e histórico nas diferentes sociedades do mundo: começou com narrativas orais que eram passadas de maneira hereditária e passaram a narrativas escritas que foram publicadas em todas as partes do globo. A partir desta sucessão, apareceram os contos clássicos que ganharam cada vez mais espaço nas casas das famílias e nas análises acadêmicas ao longo dos anos. Este projeto visa a comparar duas narrativas literárias produzidas em momentos históricos diferentes que, a princípio, pelos títulos, produzem relações discursivas entre si; todavia, ao analisar autoria, construção dos personagens, fluxo do enredo, contexto de produção, entre outras características discursivas, se distinguem, promovendo a reflexão de como obras podem ser embasadas umas nas outras, porém com vieses e efeitos de sentidos distintos. Ao compreender este pensamento, o projeto a ser desenvolvido busca analisar, com base nos estudos de Análise de Discurso, as construções e transformações que foram desencadeadas na autoria dos contos: “Chapeuzinho Vermelho (2015)”, dos Irmãos Grimm, e “Chapeuzinho Esfarrapado (2016)”, traduzido por Dasent."
62;Jean Carlos Rodrigues da Silva;MICROBIOLOGIA APLICADA (MICROBIOLOGIA (CIÊNCIAS BIOLÓGICAS));Desenvolvimento de protocolo para compostagem de resíduos da produção de cerveja para elaboração de um projeto de composteira elétrica de baixo custo;Concluído;2022;[Edital 218/2022] Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação do CNPq;O processo de compostagem ainda é muito pouco aplicado no Brasil, sendo que a maioria dos resíduos são destinados a aterros sanitários, ao ar livre ou lixões. Além do bagaço de cana-de-açúcar, o bagaço do malte é um importante resíduo da indústria brasileira, e tem sido pesquisado para uma grande quantidade de aplicações. Vinculado a isso, a grande preocupação com meio ambiente é um fator preponderante na viabilidade de compostagem com resíduos de malte. A compostagem é um processo de decomposição controlada que exige um tempo de ação dos microrganismos. O mesmo processo utilizando uma composteira elétrica é bem mais rápido, podendo dar um destino aos resíduos sem ter a preocupação com sua armazenagem e tempo de manutenção da composteira. O produto húmico formado pela ação da compostagem pode ser direcionado para hortas, plantações ou outras vegetações sem a preocupação de danos ao meio ambiente. Porém a composteira elétrica tem um elevado custo no mercado e a possibilidade de projetar a construção de uma composteira elétrica de baixo custo se faz interessante.
63;Jacob dos Santos Biziak;LETRAS (LINGUÍSTICA, LETRAS E ARTES);"Efeitos de infância presente na obra ""A terra dos meninos pelados"" de Graciliano Ramos";Concluído;2022;[2022 - SRT] Programa Institucional Voluntário de Iniciação Científica e/ou Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Os estudos sobre Graciliano Ramos e sua obra são fundamentais para a compreensão de possíveis chaves de leitura para suas narrativas. Há diversos estudos relacionados a concepção de infância de acordo com Graciliano Ramos, porém, poucos projetos de pesquisa mostram a construção e a concepção de infância por meio da análise do discurso.  Portanto, esse projeto tem como objetivo analisar a concepção de infância no livro A terra dos meninos pelados, de Graciliano Ramos, utilizando a Análise do Discurso como meio de compreender a construção de infância na obra, especialmente por meio da enunciação, narração e personagens.
64;Jacob dos Santos Biziak;LINGUÍSTICA, LETRAS E ARTES;Óbito do feminino a partir da visão de Lizzie Siddal;Concluído;2022;[2022 - SRT] Programa Institucional Voluntário de Iniciação Científica e/ou Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Vários estudos têm sido desenvolvidos no meio acadêmico envolvendo o feminino na literatura, porém, nenhum deles deu destaque a escritora e pintora Elizabeth Siddal, também conhecida como Lizzie.   Siddal fez parte da irmandade pré-rafaelista que foi um grupo de jovens artistas que iam contra o artificialismo, como eles consideravam, da arte acadêmica vigente em meados do Século XIX, na Inglaterra vitoriana.   Embora pertencente a irmandade, Lizzie sempre fora vista apenas como uma modelo ideal/musa e sua arte fora deixada de lado e tida como irrelevante. Portanto, o presente trabalho pretende analisar a morte do feminino através do olhar de Lizzie Siddal em seus poemas: Senhor, posso ir? e Um ano e um dia.
65;Jacob dos Santos Biziak;LINGUÍSTICA, LETRAS E ARTES;Efeitos de sujeito na coletânea “Nós: Uma antologia de literatura indígena” de Maurício Negro;Concluído;2022;[2022 - SRT] Programa Institucional Voluntário de Iniciação Científica e/ou Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;A construção de possibilidades de identificação para “ser brasileiro” ocorreu, em teoria, por meio de uma mistura de vozes dos povos originários, imigrantes europeus e africanos. Porém, ao longo da história, alguns discursos foram afirmados enquanto outros eram apagados, dentre eles as vozes indígenas, que durante quinhentos anos foram silenciadas pelo discurso que prevaleceu, o colonizador. Por ser marcada pela tradição oral, a literatura indígena, além de ser silenciada pelo colonizador, permaneceu por muito tempo fora do enfoque teórico dos estudos literários, que consideravam a literatura um fenômeno que só se realiza na modalidade escrita, excluindo assim as tradições orais das comunidades originárias. Após décadas de reivindicações, com a entrada de indígenas nas universidades e o acesso às instâncias governamentais, esse cenário vem mudando e o contexto atual no Brasil é mais favorável para a produção literária envolvendo os povos indígenas. Porém, mesmo no meio acadêmico, ainda não é tão claro quem são esses indígenas e quais são as diferenças entre eles. O intuito deste projeto é analisar, do ponto de vista da Análise de Discurso, a construção das diferenças entre os povos indígenas apresentados nos dez contos da coletânea Nós de Maurício Negro, publicada no ano de 2019.
